pedsPerHourOn_prob,pedsPerHourOn,pedsPerHourOff_prob,pedsPerHourOff,tileUnitCost_prob,tileUnitCost,elecUtilityRate_prob,elecUtilityRate,panelEff_prob,panelEff,circuitLoss_prob,circuitLoss,turbineEff_prob,turbineEff,baselineOceanVoyPowerUse_prob,baselineOceanVoyPowerUse,baselineTotalPowerUse_prob,baselineTotalPowerUse
0,50,0,50,0,350,0,0.06,0,0.02,0,0.2,0,0.3,0,10800000,0,26900000
0.02,150,0.05,150,0.03,450,0.0005,0.07,0.0005,0.063,0.0005,0.225,0.0005,0.31,0.009,12000000,0.009,27000000
0.05,250,0.12,250,0.09,550,0.005,0.08,0.005,0.106,0.005,0.255,0.005,0.32,0.05,13200000,0.05,27100000
0.1,350,0.22,350,0.2,650,0.05,0.09,0.05,0.149,0.05,0.275,0.05,0.33,0.1,14400000,0.1,27200000
0.19,450,0.42,450,0.35,750,0.25,0.1,0.3,0.205,0.3,0.295,0.3,0.355,0.17,15600000,0.17,27300000
0.33,550,0.64,550,0.55,850,0.55,0.11,0.5,0.235,0.5,0.305,0.5,0.37,0.35,16800000,0.35,27400000
0.5,650,0.77,650,0.75,950,0.9,0.12,0.9,0.285,0.9,0.335,0.9,0.39,0.65,18000000,0.65,27500000
0.64,750,0.83,750,0.84,1050,0.95,0.13,0.99,0.321,0.99,0.355,0.99,0.41,0.86,19200000,0.86,27600000
0.75,850,0.88,850,0.9,1150,0.99,0.15,0.999,0.364,0.999,0.375,0.999,0.43,0.94,20400000,0.94,27700000
0.83,950,0.93,950,0.94,1250,1,0.16,1,0.45,1,0.4,1,0.45,0.99,21600000,0.99,27800000
0.89,1050,0.95,1050,0.97,1350,,,,,,,,,0.999,22800000,0.999,27900000
0.93,1150,0.97,1150,0.99,1450,,,,,,,,,1,24000000,1,28000000
0.96,1250,0.98,1250,0.999,1550,,,,,,,,,,,,
0.98,1350,0.99,1350,1,1650,,,,,,,,,,,,
0.999,1450,0.999,1450,,,,,,,,,,,,,,
1,1550,1,1550,,,,,,,,,,,,,,
